dataset,controller,headroom_bin,mean_certified_headroom,mean_exact_headroom,exact_headroom_positive_rate,benchmark_safe_rate,outside_safe_rate,negative_drift_rate,mean_drift,rows
test,always_verify_throttle,"(0.08,0.15]",0.12196946599766126,0.24915338572022241,1.0,0.3120567375886525,0.8368794326241135,1.0,-0.33877441091977245,141
test,always_verify_throttle,>0.15,0.2010738165040808,0.2914678969187631,1.0,0.47435897435897434,0.6923076923076923,1.0,-0.38072994243141656,312
test,camc_rsrc_anchor,<=0,-0.13691319330925503,-0.0215195704967878,0.6842105263157895,0.3157894736842105,1.0,0.8947368421052632,-0.1323005444554527,19
test,camc_rsrc_anchor,"(0,0.03]",0.015846095943719423,0.12682155171896062,1.0,0.3333333333333333,1.0,1.0,-0.24411299508792197,6
test,camc_rsrc_anchor,"(0.03,0.08]",0.06324545257435335,0.20517325272554726,1.0,0.4,1.0,1.0,-0.3049963377804119,35
test,camc_rsrc_anchor,"(0.08,0.15]",0.12164728161095724,0.24121354102912462,1.0,0.5522388059701493,0.6567164179104478,1.0,-0.35738889943154256,201
test,camc_rsrc_anchor,>0.15,0.18714388185163183,0.2767120909631204,1.0,0.6861924686192469,0.4100418410041841,1.0,-0.40423239943549744,239
test,camc_sempc_candidate,<=0,-0.12998994568161157,-0.01660975359237453,0.5909090909090909,0.3181818181818182,1.0,0.9090909090909091,-0.13598381122250816,22
test,camc_sempc_candidate,"(0,0.03]",0.01509908079531995,0.15417247352443778,1.0,0.375,1.0,1.0,-0.27346407626878333,8
test,camc_sempc_candidate,"(0.03,0.08]",0.06281370311427151,0.19884239104263673,1.0,0.43478260869565216,1.0,1.0,-0.3029040224182464,46
test,camc_sempc_candidate,"(0.08,0.15]",0.11788368018226768,0.22906340058093907,1.0,0.6533333333333333,0.7777777777777778,1.0,-0.35499679697821623,225
test,camc_sempc_candidate,>0.15,0.18355676174334803,0.2734839248218798,1.0,0.678391959798995,0.457286432160804,1.0,-0.40763701990458723,199
test,camc_static_anchor,<=0,-0.13522816327455642,-0.01983285104170079,0.6842105263157895,0.42105263157894735,1.0,0.8947368421052632,-0.13579494833539593,19
test,camc_static_anchor,"(0,0.03]",0.01750093589857062,0.12847790814346596,1.0,0.3333333333333333,1.0,1.0,-0.2472019436199471,6
test,camc_static_anchor,"(0.03,0.08]",0.06286250615658781,0.21530260081998384,1.0,0.39285714285714285,1.0,1.0,-0.31169895486896143,28
test,camc_static_anchor,"(0.08,0.15]",0.11935716012159524,0.24182331341964494,1.0,0.5033112582781457,0.7284768211920529,1.0,-0.3419206649582156,151
