dataset,controller,headroom_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
test,greedy_myopic,"(0.03,0.08]",-0.34314646924953307,-7.508311580337275e-06,1.0,0.016666666666666666,120
test,greedy_myopic,"(0.08,0.15]",-0.38810946039063077,-0.00018435380010502976,1.0,0.006711409395973154,149
test,greedy_myopic,>0.15,-0.448658798985061,0.0,1.0,0.0,73
test,headroom_only,<=0,-0.12160545452478187,0.014608310211562317,0.8823529411764706,0.0,17
test,headroom_only,"(0,0.03]",-0.27564107806120347,-0.05555519522204308,1.0,0.25,4
test,headroom_only,"(0.03,0.08]",-0.2940664276949651,0.0,1.0,0.0,18
test,headroom_only,"(0.08,0.15]",-0.34943633807710006,-4.9789200147554745e-06,1.0,0.006024096385542169,166
test,headroom_only,>0.15,-0.4007459681167816,-8.574234571504293e-05,1.0,0.003389830508474576,295
test,maxweight_backlog,<=0,-0.13328701505818172,0.013064449391258027,0.8947368421052632,0.0,19
test,maxweight_backlog,"(0,0.03]",-0.24495141662319708,-0.037028278751080536,1.0,0.16666666666666666,6
test,maxweight_backlog,"(0.03,0.08]",-0.30916666946349086,0.0,1.0,0.0,29
test,maxweight_backlog,"(0.08,0.15]",-0.3494739658940054,-4.464614834088651e-06,1.0,0.005405405405405406,185
test,maxweight_backlog,>0.15,-0.4021658885198363,-9.66624987858732e-05,1.0,0.0038314176245210726,261
test,minimal_verify,<=0,-0.07496835669882958,0.0,0.937246963562753,0.12550607287449392,494
test,minimal_verify,"(0,0.03]",-0.40240541662422513,0.0,1.0,0.0,1
test,minimal_verify,"(0.03,0.08]",-0.43865240858732374,0.0,1.0,0.0,3
test,minimal_verify,>0.15,-0.5695103150558714,0.0,1.0,0.0,2
test,oracle_src,<=0,-0.019806557395584377,0.020811777212356195,0.8125,0.0,16
test,oracle_src,"(0,0.03]",-0.14559755792870377,0.0,1.0,0.0,4
test,oracle_src,"(0.03,0.08]",-0.2028608210148304,-0.008269099413678604,1.0,0.03225806451612903,31
test,oracle_src,"(0.08,0.15]",-0.26089335947564574,0.0,1.0,0.0,159
test,oracle_src,>0.15,-0.34362983922785534,-0.00026429777094366354,1.0,0.010344827586206896,290
