dataset,controller_a,controller_b,metric,a_minus_b,ci_low,ci_high
smith,rsrc,rsrc_no_recovery,benchmark_safe_occupancy_rate,0.0020000000000000018,0.0,0.0040000000000000036
smith,rsrc,rsrc_no_recovery,verification_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_recovery,certificate_service_violation_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_recovery,negative_drift_rate_outside_safe,0.0007838156672181906,0.0007536606373814703,0.000813970697054911
smith,rsrc,rsrc_no_recovery,avg_return_time_to_safe,0.6130952380952381,0.05000000000000071,1.1761904761904756
smith,rsrc,rsrc_no_context,discounted_cost,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,safety_augmented_cost_medium,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,success_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,overload_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,safe_occupancy_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,benchmark_safe_occupancy_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,verification_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,certificate_service_violation_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,negative_drift_rate_outside_safe,0.0,0.0,0.0
smith,rsrc,rsrc_no_context,avg_return_time_to_safe,0.0,0.0,0.0
smith,rsrc,adaptive_threshold,discounted_cost,0.034846016053208084,0.031533894485556435,0.03815813762085973
smith,rsrc,adaptive_threshold,safety_augmented_cost_medium,-0.0011539839467918922,-0.021466105514443612,0.019158137620859828
smith,rsrc,adaptive_threshold,success_rate,0.048000000000000015,0.036000000000000004,0.060000000000000026
smith,rsrc,adaptive_threshold,overload_rate,-1.734723475976807e-18,-0.004,0.003999999999999997
smith,rsrc,adaptive_threshold,safe_occupancy_rate,-0.08799999999999998,-0.09999999999999998,-0.07599999999999998
smith,rsrc,adaptive_threshold,benchmark_safe_occupancy_rate,-0.164,-0.18,-0.14800000000000002
smith,rsrc,adaptive_threshold,verification_rate,0.1280000000000005,0.1279999999999999,0.1280000000000011
smith,rsrc,adaptive_threshold,certificate_service_violation_rate,0.0,0.0,0.0
smith,rsrc,adaptive_threshold,negative_drift_rate_outside_safe,0.01898765559008403,0.016766274918775803,0.021209036261392256
smith,rsrc,adaptive_threshold,avg_return_time_to_safe,6.454271708683474,5.182352941176472,7.726190476190476
smith,rsrc,maxweight_backlog,discounted_cost,0.0001752837790194306,0.00013123511437052038,0.00021933244366834082
smith,rsrc,maxweight_backlog,safety_augmented_cost_medium,0.00017528377901954162,0.00013123511437052038,0.00021933244366856286
smith,rsrc,maxweight_backlog,success_rate,0.0,0.0,0.0
smith,rsrc,maxweight_backlog,overload_rate,0.0,0.0,0.0
smith,rsrc,maxweight_backlog,safe_occupancy_rate,-0.0020000000000000018,-0.0040000000000000036,0.0
smith,rsrc,maxweight_backlog,benchmark_safe_occupancy_rate,-0.0020000000000000018,-0.0040000000000000036,0.0
smith,rsrc,maxweight_backlog,verification_rate,0.0,0.0,0.0
smith,rsrc,maxweight_backlog,certificate_service_violation_rate,0.0,0.0,0.0
smith,rsrc,maxweight_backlog,negative_drift_rate_outside_safe,0.00037683031869073513,0.0,0.0007536606373814703
smith,rsrc,maxweight_backlog,avg_return_time_to_safe,0.025000000000000355,0.0,0.05000000000000071
smith,se_mpc,rsrc,discounted_cost,0.0,0.0,0.0
smith,se_mpc,rsrc,safety_augmented_cost_medium,0.0,0.0,0.0
smith,se_mpc,rsrc,success_rate,0.0,0.0,0.0
smith,se_mpc,rsrc,overload_rate,0.0,0.0,0.0
smith,se_mpc,rsrc,safe_occupancy_rate,0.0,0.0,0.0
smith,se_mpc,rsrc,benchmark_safe_occupancy_rate,0.0,0.0,0.0
smith,se_mpc,rsrc,verification_rate,0.0,0.0,0.0
smith,se_mpc,rsrc,certificate_service_violation_rate,0.0,0.0,0.0
smith,se_mpc,rsrc,negative_drift_rate_outside_safe,0.0,0.0,0.0
smith,se_mpc,rsrc,avg_return_time_to_safe,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,discounted_cost,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,safety_augmented_cost_medium,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,success_rate,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,overload_rate,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,safe_occupancy_rate,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,benchmark_safe_occupancy_rate,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,verification_rate,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,negative_drift_rate_outside_safe,0.0,0.0,0.0
smith,camc_static_anchor,static_conservative,avg_return_time_to_safe,0.0,0.0,0.0
smith,camc_rsrc_anchor,rsrc,discounted_cost,-0.0045574692568203234,-0.005661805173783674,-0.003453133339856973
smith,camc_rsrc_anchor,rsrc,safety_augmented_cost_medium,0.0014425307431796819,-0.00045313333985697035,0.003338194826216334
smith,camc_rsrc_anchor,rsrc,success_rate,-0.008000000000000007,-0.01200000000000001,-0.0040000000000000036
smith,camc_rsrc_anchor,rsrc,overload_rate,0.0,0.0,0.0
smith,camc_rsrc_anchor,rsrc,safe_occupancy_rate,-0.006000000000000005,-0.01200000000000001,0.0
smith,camc_rsrc_anchor,rsrc,benchmark_safe_occupancy_rate,0.034,0.016000000000000014,0.05199999999999999
smith,camc_rsrc_anchor,rsrc,verification_rate,-0.019999999999999962,-0.025333333333333208,-0.014666666666666717
