dataset,controller,slack_quantile,rows,activation_rate,mean_certified_margin,mean_certified_slack,post_switch_violation_rate,mean_success,mean_drift
rebench,pareto_camc_rsrc_anchor,Q2,116,0.0,,-0.06141540104992303,,0.20689655172413793,-0.29981841315153734
rebench,pareto_camc_rsrc_anchor,Q3,121,0.0,-0.12612705567901397,-0.010790197297145051,,0.256198347107438,-0.34282634494499986
rebench,pareto_camc_rsrc_anchor,Q4,122,0.0,-0.13785679760580488,0.025714284876028327,,0.2786885245901639,-0.37716391469322125
rebench,pareto_camc_rsrc_anchor,Q5,102,0.0,-0.12966380819753848,0.09250370070610699,,0.28431372549019607,-0.4219883794045609
rebench,pareto_camc_sempc_candidate,Q1,32,0.0,,-0.18425131511532916,,0.15625,-0.17760984977918845
rebench,pareto_camc_sempc_candidate,Q2,89,0.0,,-0.06470177414938788,,0.20224719101123595,-0.2992489011739098
rebench,pareto_camc_sempc_candidate,Q3,102,0.0196078431372549,-0.0811971674902555,-0.017291146156935885,0.0,0.2647058823529412,-0.3296158581124682
rebench,pareto_camc_sempc_candidate,Q4,109,0.10091743119266056,-0.10673357237587419,0.026962689766439042,0.0,0.26605504587155965,-0.35502640351083475
rebench,pareto_camc_sempc_candidate,Q5,168,0.1488095238095238,-0.1051347826888688,0.09488836032285321,0.0,0.30952380952380953,-0.3924519567560849
rebench,pareto_camc_static_anchor,Q1,31,0.0,,-0.18698500536589252,,0.12903225806451613,-0.17128895669884545
rebench,pareto_camc_static_anchor,Q2,80,0.0,,-0.06224995658648517,,0.1875,-0.2989331784884789
rebench,pareto_camc_static_anchor,Q3,90,0.0,-0.128473528412655,-0.01507460162820293,,0.3,-0.3279510910498934
rebench,pareto_camc_static_anchor,Q4,96,0.0,-0.1301741466687459,0.02716855990866314,,0.2708333333333333,-0.3420634371604508
rebench,pareto_camc_static_anchor,Q5,203,0.0,-0.13185826420146474,0.1082067587066983,,0.2857142857142857,-0.38668730266060863
smith,camc_rsrc_anchor,Q1,297,0.0,,-0.26079587853121505,,0.21212121212121213,-0.08715757862672806
