dataset,controller,headroom_bin,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,benchmark_safe_rate,rows
smith,greedy_myopic,<=0,"(1,2]",-0.28774967670277385,-0.5171027839042251,1.0,1.0,0.0,1
smith,greedy_myopic,"(0,0.03]",<=0.5,-0.2386134051165339,-0.01652357861017919,1.0,0.275,0.15,40
smith,greedy_myopic,"(0,0.03]","(0.5,1]",-0.2708216055509767,-0.24302469030955998,1.0,1.0,0.0,4
smith,greedy_myopic,"(0.03,0.08]",<=0.5,-0.26695119316388227,-0.010453360057685832,1.0,0.23684210526315788,0.17105263157894737,76
smith,greedy_myopic,"(0.03,0.08]","(0.5,1]",-0.28349017157668893,-0.2225180309331951,1.0,1.0,0.0,1
smith,greedy_myopic,"(0.08,0.15]",<=0.5,-0.3058113416956216,-0.007662510368771875,1.0,0.17355371900826447,0.2892561983471074,121
smith,greedy_myopic,>0.15,<=0.5,-0.34604082489905896,-0.0013707219834125928,1.0,0.16666666666666666,0.40476190476190477,42
smith,headroom_only,<=0,<=0.5,0.09685423543904019,0.06515210351406658,0.4094488188976378,0.07874015748031496,0.10236220472440945,127
smith,headroom_only,<=0,"(0.5,1]",-0.04442080733041032,-0.039305735129860735,0.6666666666666666,0.6666666666666666,0.0,12
smith,headroom_only,"(0,0.03]",<=0.5,-0.18259717399394043,-0.012158846169575733,1.0,0.38461538461538464,0.23076923076923078,13
smith,headroom_only,"(0,0.03]","(0.5,1]",-0.22680544940257769,-0.27225125606140776,1.0,1.0,0.25,4
smith,headroom_only,"(0.03,0.08]",<=0.5,-0.211532585491952,-0.025346167551926743,1.0,0.3387096774193548,0.22580645161290322,62
smith,headroom_only,"(0.03,0.08]","(0.5,1]",-0.25867946769032585,-0.2547542778603888,1.0,1.0,0.5,4
smith,headroom_only,"(0.08,0.15]",<=0.5,-0.2550212818340602,-0.012107023437008023,1.0,0.23846153846153847,0.23846153846153847,130
smith,headroom_only,"(0.08,0.15]","(0.5,1]",-0.2443774707779402,-0.23071624429263632,1.0,1.0,0.0,5
smith,headroom_only,>0.15,<=0.5,-0.2994780072874487,-0.004370608560372892,1.0,0.1958041958041958,0.38461538461538464,143
smith,maxweight_backlog,<=0,<=0.5,0.08847744862506002,0.0630272279217511,0.42748091603053434,0.08396946564885496,0.10687022900763359,131
smith,maxweight_backlog,<=0,"(0.5,1]",-0.04445465600848949,-0.03934564556768846,0.6666666666666666,0.6666666666666666,0.0,12
smith,maxweight_backlog,"(0,0.03]",<=0.5,-0.19611051542587046,-0.01778434781653461,1.0,0.4,0.15,20
smith,maxweight_backlog,"(0,0.03]","(0.5,1]",-0.21499806148870465,-0.2505180398975215,1.0,1.0,0.2,5
