dataset,controller,epsilon_s,load_threshold,rows,mean_drift,mean_drift_ci_low,mean_drift_ci_high,negative_drift_rate,negative_drift_rate_ci_low,negative_drift_rate_ci_high,mean_delta_sq,mean_delta_sq_ci_low,mean_delta_sq_ci_high,negative_delta_sq_rate,negative_delta_sq_rate_ci_low,negative_delta_sq_rate_ci_high,mean_certified_headroom,mean_exact_headroom
smith,se_mpc,0.03,0.35,22,-0.2529067866349369,-0.26767125166541883,-0.23677882506603704,1.0,1.0,1.0,-0.17897306732041598,-0.21004742953746727,-0.15461262602891984,1.0,1.0,1.0,0.08143447544174032,0.17006614410138196
smith,se_mpc,0.03,0.5,8,-0.2611355563956177,-0.2831023467245887,-0.232130734118564,1.0,1.0,1.0,-0.25112197937046166,-0.2830115830273538,-0.2169688637202659,1.0,1.0,1.0,0.07843265241412134,0.1712213388814514
smith,se_mpc,0.03,1.0,0,,,,,,,,,,,,,,
smith,se_mpc,0.08,0.35,8,-0.26613777942628836,-0.28781286174727333,-0.23723887100665436,1.0,1.0,1.0,-0.17692374475568756,-0.21994873639635226,-0.13932257972789525,1.0,1.0,1.0,0.11371021245205513,0.19441450825782777
smith,se_mpc,0.08,0.5,3,-0.23981343488441395,-0.2757715668148926,-0.17011537958913303,1.0,1.0,1.0,-0.23153960071675017,-0.317715313590388,-0.1693168899392102,1.0,1.0,1.0,0.09186232525515566,0.17673564820952814
smith,se_mpc,0.08,1.0,0,,,,,,,,,,,,,,
smith,static_conservative,0.0,0.35,29,-0.24546278766315932,-0.260743530308164,-0.22939930377280585,1.0,1.0,1.0,-0.1882215529773272,-0.21693436431581012,-0.16407417970617125,1.0,1.0,1.0,0.06454718507168578,0.1591850432869058
smith,static_conservative,0.0,0.5,13,-0.24363464911413327,-0.2678010107949712,-0.2132961028907248,1.0,1.0,1.0,-0.250867655279731,-0.29795697622279316,-0.20998954878023793,1.0,1.0,1.0,0.05178978890475186,0.1507571541798502
smith,static_conservative,0.0,1.0,0,,,,,,,,,,,,,,
smith,static_conservative,0.03,0.35,22,-0.2531331627816717,-0.2678093429521058,-0.23695253809408676,1.0,1.0,1.0,-0.1787380108967073,-0.20991296255350209,-0.15405989038205056,1.0,1.0,1.0,0.0816110707571982,0.1702420257721036
smith,static_conservative,0.03,0.5,8,-0.2612619909329199,-0.2833284061690375,-0.2321517028611385,1.0,1.0,1.0,-0.2509980660377952,-0.2829169903645725,-0.21682288770821054,1.0,1.0,1.0,0.0785370247456078,0.17132516942276316
smith,static_conservative,0.03,1.0,0,,,,,,,,,,,,,,
smith,static_conservative,0.08,0.35,8,-0.26636711278107283,-0.2884658862468935,-0.23726954551248144,1.0,1.0,1.0,-0.17677705310992672,-0.2198182396737373,-0.13891592911420328,1.0,1.0,1.0,0.1138409985206881,0.19454493998510752
smith,static_conservative,0.08,0.5,3,-0.23981460593599657,-0.2757736617853514,-0.1701153796386694,1.0,1.0,1.0,-0.23153905454523757,-0.3177142072361804,-0.16931688988901697,1.0,1.0,1.0,0.09186311804712606,0.17673643442797607
smith,static_conservative,0.08,1.0,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.0,0.35,1,-0.3385551750141551,-0.3385551750141551,-0.3385551750141551,1.0,1.0,1.0,-0.22216995711704002,-0.22216995711704002,-0.22216995711704002,1.0,1.0,1.0,0.004054955298564256,0.16349490485506113
test,camc_rsrc_anchor,0.0,0.5,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.0,1.0,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.03,0.35,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.03,0.5,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.03,1.0,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.08,0.35,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.08,0.5,0,,,,,,,,,,,,,,
test,camc_rsrc_anchor,0.08,1.0,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.0,0.35,1,-0.338495674898173,-0.338495674898173,-0.338495674898173,1.0,1.0,1.0,-0.22220465635029837,-0.22220465635029837,-0.22220465635029837,1.0,1.0,1.0,0.004021350691939651,0.16346161662030634
test,camc_sempc_candidate,0.0,0.5,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.0,1.0,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.03,0.35,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.03,0.5,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.03,1.0,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.08,0.35,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.08,0.5,0,,,,,,,,,,,,,,
test,camc_sempc_candidate,0.08,1.0,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.0,0.35,1,-0.3385935768397966,-0.3385935768397966,-0.3385935768397966,1.0,1.0,1.0,-0.2221476236679798,-0.2221476236679798,-0.2221476236679798,1.0,1.0,1.0,0.004076904416348559,0.1635166432324867
test,camc_static_anchor,0.0,0.5,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.0,1.0,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.03,0.35,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.03,0.5,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.03,1.0,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.08,0.35,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.08,0.5,0,,,,,,,,,,,,,,
test,camc_static_anchor,0.08,1.0,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.0,0.35,1,-0.3385551750141551,-0.3385551750141551,-0.3385551750141551,1.0,1.0,1.0,-0.22216995711704002,-0.22216995711704002,-0.22216995711704002,1.0,1.0,1.0,0.004054955298564256,0.16349490485506113
test,pareto_camc_rsrc_anchor,0.0,0.5,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.0,1.0,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.03,0.35,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.03,0.5,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.03,1.0,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.08,0.35,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.08,0.5,0,,,,,,,,,,,,,,
test,pareto_camc_rsrc_anchor,0.08,1.0,0,,,,,,,,,,,,,,
test,pareto_camc_sempc_candidate,0.0,0.35,1,-0.3385935768397966,-0.3385935768397966,-0.3385935768397966,1.0,1.0,1.0,-0.2221476236679798,-0.2221476236679798,-0.2221476236679798,1.0,1.0,1.0,0.004076904416348559,0.1635166432324867
test,pareto_camc_sempc_candidate,0.0,0.5,0,,,,,,,,,,,,,,
test,pareto_camc_sempc_candidate,0.0,1.0,0,,,,,,,,,,,,,,
test,pareto_camc_sempc_candidate,0.03,0.35,0,,,,,,,,,,,,,,
test,pareto_camc_sempc_candidate,0.03,0.5,0,,,,,,,,,,,,,,
test,pareto_camc_sempc_candidate,0.03,1.0,0,,,,,,,,,,,,,,
test,pareto_camc_sempc_candidate,0.08,0.35,0,,,,,,,,,,,,,,
test,pareto_camc_sempc_candidate,0.08,0.5,0,,,,,,,,,,,,,,
