dataset,comparison,controller_a,controller_b,metric,a_minus_b,ci_low,ci_high
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,camc_post_switch_violation_rate,0.0,0.0,0.0
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,discounted_cost,3.0182887208629605e-05,-5.483408416995239e-05,0.0001151998585872116
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,safety_augmented_cost_medium,3.0182887208574094e-05,-5.483408416995239e-05,0.00011519985858710058
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,success_rate,0.0,0.0,0.0
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,overload_rate,0.0,0.0,0.0
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,verification_rate,-0.0013333333333334085,-0.002666666666666817,0.0
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,fallback_rate,0.5,0.46,0.54
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,safe_set_nonempty_rate,-0.011999999999999955,-0.02399999999999991,0.0
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,avg_return_time_to_safe,0.09090909090909083,0.0,0.18181818181818166
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,camc_activation_rate,0.072,0.056,0.088
test,CAMC-static minus static anchor,camc_static_anchor,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,discounted_cost,-0.00028445254929942987,-0.0004797911597738125,-8.911393882504726e-05
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,safety_augmented_cost_medium,-0.00028445254929942987,-0.0004797911597738125,-8.911393882504726e-05
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,success_rate,0.0,0.0,0.0
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,overload_rate,0.0,0.0,0.0
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,verification_rate,-0.004666666666666763,-0.008000000000000118,-0.0013333333333334085
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,fallback_rate,0.0020000000000000018,0.0,0.0040000000000000036
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,safe_set_nonempty_rate,-0.0020000000000000018,-0.0040000000000000036,0.0
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,avg_return_time_to_safe,0.07678571428571423,0.02857142857142847,0.125
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,camc_activation_rate,0.024,0.008,0.04
test,CAMC-RSRC minus RSRC anchor,camc_rsrc_anchor,rsrc,camc_post_switch_violation_rate,0.0,0.0,0.0
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,discounted_cost,-0.005098300179668197,-0.00625990125028536,-0.003936699109051034
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,safety_augmented_cost_medium,0.020401699820331742,0.017740098749714606,0.02306330089094888
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,success_rate,-0.03399999999999999,-0.036000000000000004,-0.03199999999999997
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,overload_rate,0.0,0.0,0.0
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,verification_rate,-0.07399999999999973,-0.0773333333333327,-0.07066666666666677
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,fallback_rate,0.6040000000000001,0.548,0.66
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,safe_set_nonempty_rate,-0.11599999999999996,-0.12,-0.11199999999999993
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,avg_return_time_to_safe,0.7668325469994275,0.5750184774575016,0.9586466165413534
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,camc_activation_rate,0.358,0.312,0.404
test,CAMC-SE-MPC minus static anchor,camc_sempc_candidate,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
test,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,discounted_cost,-0.0058309421990269394,-0.007787543146757836,-0.003874341251296043
test,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,safety_augmented_cost_medium,0.021169057800973112,0.01621245685324224,0.026125658748703984
test,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,success_rate,-0.03599999999999999,-0.04000000000000001,-0.03199999999999997
test,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,overload_rate,0.0,0.0,0.0
test,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,verification_rate,-0.07066666666666638,-0.07199999999999929,-0.06933333333333347
test,CAMC-SE-MPC minus SE-MPC candidate,camc_sempc_candidate,se_mpc,fallback_rate,0.038000000000000034,0.020000000000000018,0.05600000000000005
